solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,n,p,q,cut_type,cut_value,max_variables,max_constraints,total_cpu_time,gurobi_cpu_time,non_gurobi_cpu_time,objective_value
0,iterative,auto,warm,0.01,,150,0.5,0.1,fixed,1000,11175,15101,551.270971074,512.963859616,38.30711145800001,565.9999999999959
0,iterative,auto,warm,0.1,,150,0.5,0.1,fixed,1000,11175,14101,359.27780920399994,304.5238427820002,54.753966421999735,565.9999999999986
0,iterative,auto,warm,1,0.5,150,0.5,0.1,fixed,1000,11175,15101,558.4792372390001,514.4800207479996,43.99921649100054,566.0000000000088
0,iterative,auto,warm,1,0.9,150,0.5,0.1,fixed,1000,11175,16101,554.729129435,505.036207697,49.692921737999995,565.9999999999993
1,iterative,auto,warm,0.01,,150,0.5,0.1,fixed,10000,11175,31571,523.7555053369997,487.63884056999973,36.116664766999975,592.9999999999957
1,iterative,auto,warm,0.1,,150,0.5,0.1,fixed,10000,11175,30101,515.2643308790002,485.3405086980001,29.923822181000105,593.0000000000015
1,iterative,auto,warm,1,0.5,150,0.5,0.1,fixed,10000,11175,32601,631.7510410909999,591.829471817,39.92156927399992,593.0000000000024
1,iterative,auto,warm,1,0.9,150,0.5,0.1,fixed,10000,11175,32643,656.1822111229999,616.0291993180008,40.153011804999096,593.000000000003
2,iterative,auto,warm,0.01,,150,0.5,0.2,fixed,1000,11175,26101,14552.575722274,14512.655074209,39.920648064999114,1134.0000000000014
2,iterative,auto,warm,0.1,,150,0.5,0.2,fixed,1000,11175,21395,7131.503008479001,7052.102087589992,79.40092088900929,1133.9999999999989
2,iterative,auto,warm,1,0.5,150,0.5,0.2,fixed,1000,11175,26989,12815.213363928997,12751.948267345,63.26509658399664,1134.0000000000023
2,iterative,auto,warm,1,0.9,150,0.5,0.2,fixed,1000,11175,22808,8235.571642809999,8162.487581449008,73.08406136099075,1134.000000000004
3,iterative,auto,warm,0.01,,150,0.5,0.2,fixed,10000,11175,40101,7916.626559529002,7884.078522791002,32.54803673800052,1176.9999999999968
3,iterative,auto,warm,0.1,,150,0.5,0.2,fixed,10000,11175,40395,7302.524700642003,7256.864761379991,45.6599392620119,1176.999999999998
3,iterative,auto,warm,1,0.5,150,0.5,0.2,fixed,10000,11175,41353,8527.011689141,8474.014975546997,52.99671359400236,1176.9999999999898
3,iterative,auto,warm,1,0.9,150,0.5,0.2,fixed,10000,11175,42076,7843.972636257997,7787.79472393902,56.17791231897718,1177.0000000000036
4,iterative,auto,warm,0.01,,150,0.8,0.1,fixed,1000,11175,7101,37.087953690002905,0.7501074649917427,36.33784622501116,533.0
4,iterative,auto,warm,0.1,,150,0.8,0.1,fixed,1000,11175,7101,47.72465286499937,0.6996847629925469,47.024968102006824,533.0
4,iterative,auto,warm,1,0.5,150,0.8,0.1,fixed,1000,11175,8977,40.39240789599717,0.9620283189869951,39.43037957701017,533.0
4,iterative,auto,warm,1,0.9,150,0.8,0.1,fixed,1000,11175,8539,40.81740507601353,1.0105688010080485,39.80683627500548,533.0
5,iterative,auto,warm,0.01,,150,0.8,0.1,fixed,10000,11175,20101,26.064975807996234,0.8686819689901313,25.196293839006103,576.0
5,iterative,auto,warm,0.1,,150,0.8,0.1,fixed,10000,11175,20101,36.0712676839903,0.8255487190035637,35.245718964986736,576.0
5,iterative,auto,warm,1,0.5,150,0.8,0.1,fixed,10000,11175,20101,36.484340809998685,0.9192477310134564,35.56509307898523,576.0
5,iterative,auto,warm,1,0.9,150,0.8,0.1,fixed,10000,11175,20101,37.502419719006866,0.9388389570085565,36.56358076199831,576.0
6,iterative,auto,warm,0.01,,150,0.8,0.2,fixed,1000,11175,9101,37.33812498000043,2.2293875470058993,35.10873743299453,1111.0
6,iterative,auto,warm,0.1,,150,0.8,0.2,fixed,1000,11175,9689,59.24383510299958,1.6158480500162113,57.62798705298337,1111.0
6,iterative,auto,warm,1,0.5,150,0.8,0.2,fixed,1000,11175,11101,62.72003306799161,23.679295233014273,39.040737834977335,1111.0
6,iterative,auto,warm,1,0.9,150,0.8,0.2,fixed,1000,11175,12101,67.60262996600068,26.783636580017628,40.81899338598305,1111.0
7,iterative,auto,warm,0.01,,150,0.8,0.2,fixed,10000,11175,20395,39.028167252996354,0.588419249994331,38.43974800300202,1109.0
7,iterative,auto,warm,0.1,,150,0.8,0.2,fixed,10000,11175,20101,34.12397945400153,0.5381776860012906,33.58580176800024,1109.0
7,iterative,auto,warm,1,0.5,150,0.8,0.2,fixed,10000,11175,20101,36.709774807997746,0.4887550760031445,36.2210197319946,1109.0
7,iterative,auto,warm,1,0.9,150,0.8,0.2,fixed,10000,11175,20101,37.2332244470017,0.5737386279943166,36.65948581900739,1109.0
8,iterative,auto,warm,0.01,,150,0.5,0.1,fixed,1000,11175,15101,650.4980343689967,611.6429284730257,38.855105895971064,553.9999999999923
8,iterative,auto,warm,0.1,,150,0.5,0.1,fixed,1000,11175,14101,376.1830791550019,320.2310192479781,55.952059907023795,554.0000000000035
8,iterative,auto,warm,1,0.5,150,0.5,0.1,fixed,1000,11175,16458,589.9042981969978,544.5002369650028,45.404061231995,553.9999999999698
8,iterative,auto,warm,1,0.9,150,0.5,0.1,fixed,1000,11175,16101,624.1756976210017,578.7541187519819,45.42157886901987,554.0000000000043
9,iterative,auto,warm,0.01,,150,0.5,0.1,fixed,10000,11175,40101,327.0239345959999,284.4622016450012,42.5617329509987,532.9999999999999
9,iterative,auto,warm,0.1,,150,0.5,0.1,fixed,10000,11175,31851,436.1436463830032,393.1955034450075,42.948142937995726,533.0000000000376
9,iterative,auto,warm,1,0.5,150,0.5,0.1,fixed,10000,11175,33806,429.8495366970019,393.55024953300017,36.299287164001726,532.9999999999986
9,iterative,auto,warm,1,0.9,150,0.5,0.1,fixed,10000,11175,32760,410.5317620249989,374.57569816299656,35.95606386200234,533.0000000000003
10,iterative,auto,warm,0.01,,150,0.5,0.2,fixed,1000,11175,28101,16152.66249042,16110.57528732602,42.08720309397904,1154.0000000000023
10,iterative,auto,warm,0.1,,150,0.5,0.2,fixed,1000,11175,23101,9542.023433335009,9460.286817892003,81.73661544300558,1154.0000000000032
10,iterative,auto,warm,1,0.5,150,0.5,0.2,fixed,1000,11175,26902,14647.10863050801,14575.196638294947,71.91199221306306,1153.9999999999952
10,iterative,auto,warm,1,0.9,150,0.5,0.2,fixed,1000,11175,23919,10228.638135362009,10139.291285420011,89.34684994199779,1153.9999999999986
